Country,Allocation date,Amount in US$,Window,Emergency,Status,iso2,asap0_id,year,sid
Antigua and Barbuda,2017-10-04,2154461,Rapid Response,Storm,Report Available,AG,64,2017,2017242N16333
Bahamas,2019-09-26,1002151,Rapid Response,Storm,Report Available,BS,76,2019,2019236N10314
Bangladesh,2023-06-14,3000000,Rapid Response,Storm,Completed,BD,20,2023,
Bangladesh,2020-06-17,5012069,Rapid Response,Storm,Report Available,BD,20,2020,2020136N10088
Bangladesh,2017-06-15,1730610,Rapid Response,Storm,Report Available,BD,20,2017,2017147N14087
Bangladesh,2007-11-19,19692303,Rapid Response,Storm,Report Available,BD,20,2007,2007314N10093
Bangladesh,2007-08-30,6054793,Rapid Response,Storm,Report Available,BD,20,2007,
Bolivia,2010-03-04,2486524,Rapid Response,Storm,Report Available,BO,108,2010,
Colombia,2010-12-07,3640647,Rapid Response,Storm,Report Available,CO,192,2010,
Comoros,2019-05-13,2994184,Rapid Response,Storm,Report Available,KM,30,2019,2019112S10053
Cuba,2022-10-18,7827734,Rapid Response,Storm,Report Available,CU,35,2022,2022266N12294
Cuba,2019-03-05,1995221,Rapid Response,Storm,Report Available,CU,35,2019,
Cuba,2017-09-28,7999469,Rapid Response,Storm,Report Available,CU,35,2017,2017242N16333
Cuba,2016-10-19,5352736,Rapid Response,Storm,Report Available,CU,35,2016,2016273N13300
Cuba,2012-11-12,5522753,Rapid Response,Storm,Report Available,CU,35,2012,2012296N14283
Democratic People's Republic of Korea,2019-10-21,5999898,Rapid Response,Storm,Report Available,KP,161,2019,2019243N06136
Djibouti,2018-06-21,1196791,Rapid Response,Storm,Report Available,DJ,43,2018,2018136N11054
Dominica,2017-10-10,3011838,Rapid Response,Storm,Report Available,DM,22,2017,2017260N12310
Dominican Republic,2007-12-28,774539,Rapid Response,Storm,Report Available,DO,143,2007,2007345N18298
Dominican Republic,2007-11-09,3105354,Rapid Response,Storm,Report Available,DO,143,2007,2007297N18300
